"ensembl_gene_id","PC3_NT1","PC3_NT2","PC3_NT3","PC3_TR1","PC3_TR2","PC3_TR3"
"ENSG00000187147",205.139,206.167,198.708,235.569,213.302,196.023
"ENSG00000263381",0,0,0,0,0,0
"ENSG00000198520",5.61063,4.66117,1.52559,3.44735,5.96928,0.75978
"ENSG00000142945",109.758,47.6874,342.876,101.505,79.5904,296.314
"ENSG00000200913",0,0,0,0,0,0
"ENSG00000173846",57.509,48.4045,43.8607,112.23,115.008,84.3356
"ENSG00000222009",2.80532,1.07565,0,6.8947,17.1119,4.93857
"ENSG00000253039",0,0,0,0,0,0
"ENSG00000229815",0,0,0,0,0,0
"ENSG00000126088",709.394,680.889,589.64,673.765,607.274,439.533
"ENSG00000186603",0,0,0,0.383039,0.397952,0.37989
"ENSG00000132773",110.109,86.4109,117.089,82.7364,84.7637,100.291
"ENSG00000132763",81.0035,68.1248,93.4423,50.1781,57.703,72.1791
"ENSG00000234379",0,0,0,0,0,0
"ENSG00000117448",241.608,261.384,233.034,247.443,243.944,177.029
"ENSG00000132780",542.127,436.357,786.441,571.111,486.695,749.143
"ENSG00000159596",222.321,206.884,241.043,235.186,234.394,204.381
"ENSG00000086015",214.957,224.453,295.583,258.551,247.128,342.661
"ENSG00000117472",126.239,140.194,79.3306,143.256,131.324,60.0226
"ENSG00000171357",2.80532,1.43421,0.381397,1.53216,0.795904,1.13967
"ENSG00000085999",30.5078,24.023,142.643,49.029,42.1829,151.196
"ENSG00000173660",1397.4,1201.15,1550.38,1208.1,1218.93,1176.52
"ENSG00000225667",0.350665,0.717103,1.14419,1.14912,0.397952,0
